,width,height
0,831,1000
1,801,1000
2,748,1000
3,652,1000
4,769,1000
5,702,1000
6,721,1000
7,770,1000
8,695,1000
9,696,1000
10,620,1000
11,823,1000
12,807,1000
13,819,1000
14,692,1000
15,840,1000
16,618,1000
17,677,1000
18,751,1000
19,708,1000
20,832,1000
21,842,1000
22,685,1000
23,756,1000
24,807,1000
25,711,1000
26,841,1000
27,829,1000
28,716,1000
29,780,1000
30,789,1000
31,608,1000
32,707,1000
33,687,1000
34,790,1000
35,713,1000
36,694,1000
37,714,1000
38,720,1000
39,793,1000
40,808,1000
41,617,1000
42,736,1000
43,836,1000
44,749,1000
45,785,1000
46,614,1000
47,824,1000
48,783,1000
49,740,1000
50,656,1000
51,825,1000
52,749,1000
53,786,1000
54,651,1000
55,792,1000
56,735,1000
57,768,1000
58,828,1000
59,783,1000
60,685,1000
61,771,1000
62,754,1000
63,740,1000
64,691,1000
65,613,1000
66,800,1000
67,797,1000
68,840,1000
69,764,1000
70,807,1000
71,716,1000
72,842,1000
73,718,1000
74,628,1000
75,815,1000
76,614,1000
77,749,1000
78,645,1000
79,650,1000
80,764,1000
81,788,1000
82,662,1000
83,785,1000
84,801,1000
85,751,1000
86,673,1000
87,828,1000
88,772,1000
89,608,1000
90,832,1000
91,694,1000
92,718,1000
93,814,1000
94,698,1000
95,658,1000
96,788,1000
97,832,1000
98,797,1000
99,656,1000
